price_eur,location,city,governorate,Area,room,bathroom,age,state,distance_to_capital,garage,garden,concierge,beach_view,mountain_view,pool,elevator,furnished,equipped_kitchen,central_heating,air_conditioning
263500,Hammam Sousse,Hammam Sousse,Sousse,540.0,6,2,1,1,113.681036216882,1,0,0,0,0,0,0,0,0,0,0
341000,Gammarth,La Marsa,tunis,500.0,11,5,1,2,17.7221901283016,1,0,0,0,0,0,0,0,1,0,0
362700,Bellevue,El Ouardia,tunis,480.0,9,3,1,2,4.97542612901849,1,0,0,0,1,0,0,0,1,1,1
170500,La Marsa,La Marsa,tunis,446.0,4,2,1,2,17.7221901283016,0,0,0,0,0,0,0,0,1,1,1
496000,Mahdia Ville,Mahdia Ville,Mahdia,420.0,11,11,0,2,327.765254316544,0,0,0,0,0,0,0,1,1,1,1
207700,Cité El Intilaka,El Omrane Superieur,tunis,400.0,25,10,1,1,2.19113226059161,1,0,0,0,0,0,0,0,0,0,0
341000,Cité Les Pins,La Marsa,tunis,390.0,9,3,1,1,17.7221901283016,1,0,0,0,0,0,0,0,0,0,0
294500,La Soukra,La Soukra,Ariana,370.0,9,6,1,2,11.3450822580238,1,0,1,0,0,0,0,0,1,1,1
248000,Chott Meriem,Akouda,Sousse,360.0,7,2,1,1,111.167790931873,0,0,0,0,0,0,0,0,0,1,0
130200,Hammamet,Hammamet,Nabeul,360.0,7,6,1,1,60.4336897979933,0,0,0,0,0,1,0,0,0,0,1
139500,Cité El Mhiri,La Marsa,tunis,356.0,8,4,3,1,32.5650039291466,1,0,0,0,0,0,0,0,1,1,1
139500,Sousse Corniche,Sousse Ville,Sousse,328.0,6,4,4,1,119.814452764092,0,0,0,1,0,0,0,0,0,0,0
303800,El Menzah 9,El Menzah,tunis,300.0,3,4,1,2,4.6317218774898,0,0,0,0,0,1,0,0,0,0,0
223200,Djerba,Djerba,Djerba,266.0,4,3,0,2,339.71587713055,1,0,0,0,0,1,0,0,0,0,0
170500,Jaafar,Raoued,Ariana,265.0,7,3,3,1,16.228614774176,1,0,0,0,1,0,0,0,1,0,0
239630,Hammamet,Hammamet,Nabeul,262.0,3,3,0,2,65.4597220191691,0,0,0,0,0,1,0,0,0,1,1
387500,Monastir Ville,Monastir Ville,Monastir,228.0,12,6,1,1,134.077396594029,0,0,0,0,0,0,0,1,1,1,1
254200,Denden,La Manouba,La Manouba,222.0,8,6,2,2,6.6306819340308,0,0,0,0,0,0,0,1,1,1,1
139500,Bab El Assal,Tunis,tunis,150.0,6,6,3,0,2.19113226059161,0,0,0,0,0,0,0,0,0,0,0
1705000,La Marsa,La Marsa,tunis,172.0,4,3,1,1,17.7221901283016,1,0,1,0,0,1,0,0,1,1,1
558000,Bizerte,Bizerte Nord,Bizerte,3550.0,7,7,1,1,61.3547423350838,1,0,0,0,1,1,0,0,1,1,1
139500,La Manouba,La Manouba,La Manouba,12000.0,3,1,0,2,14.3537727228831,1,0,0,1,0,1,0,1,1,0,0
1550000,La Soukra,La Soukra,Ariana,4992.0,11,4,1,2,13.6515294537323,1,0,0,0,0,1,0,0,1,1,1
620000,Chotrana 3,La Soukra,Ariana,1200.0,4,3,0,2,10.6556323701042,1,0,0,0,0,1,0,0,0,1,1
434000,Hammamet,Hammamet,Nabeul,1000.0,4,2,1,2,65.4597220191691,0,0,0,0,0,1,0,0,0,0,0
372000,Hammamet,Hammamet,Nabeul,1000.0,5,4,1,1,65.4597220191691,1,0,0,0,0,1,0,0,1,1,1
372000,Hammamet,Hammamet,Nabeul,1000.0,4,2,1,2,65.4597220191691,0,0,0,0,0,1,0,1,1,0,1
682000,El Menzah 5,Ariana Ville,Ariana,980.0,10,6,1,1,6.32498837542227,1,0,0,0,0,0,0,0,1,1,1
372000,Hammamet Nord,Hammamet,Nabeul,700.0,4,2,1,2,65.4597220191691,0,0,0,0,0,1,0,0,0,0,0
372000,El Manar 1,El Menzah,tunis,700.0,6,4,2,1,5.60719012128619,1,0,0,0,0,1,0,0,1,1,1
139500,Hammamet Sud,Hammamet,Nabeul,700.0,4,2,1,2,65.4597220191691,1,0,0,0,0,1,0,0,0,1,1
496000,El Menzah 6,Ariana Ville,Ariana,680.0,10,5,4,0,6.32498837542227,1,0,0,0,0,0,0,0,1,1,1
458800,El Menzah 9,El Menzah,tunis,677.0,10,5,1,1,4.6317218774898,1,0,0,0,0,1,0,0,1,1,1
341000,El Menzah 9,El Menzah,tunis,664.0,7,4,1,1,4.6317218774898,1,0,0,0,0,0,0,0,1,1,1
139500,El Hajeb,Sfax Sud,Sfax,600.0,5,2,4,1,260.915300510146,1,0,0,0,0,0,0,0,0,0,0
837000,El Menzah 5,Ariana Ville,Ariana,550.0,7,4,1,1,6.32498837542227,0,0,0,0,0,0,0,0,1,1,0
139500,El Menzah 9,El Menzah,tunis,541.0,6,4,4,1,4.6317218774898,1,0,0,0,0,0,0,0,1,1,1
434000,El Manar 1,El Menzah,tunis,500.0,4,5,1,2,2.19113226059161,1,0,0,0,0,1,0,0,1,1,1
294500,Borj Louzir,La Soukra,Ariana,500.0,9,4,3,1,11.3450822580238,0,0,0,0,0,0,0,0,1,1,0
201500,Cité el Ghazela,Raoued,Ariana,463.0,9,5,3,1,16.228614774176,1,0,0,0,0,0,0,0,1,1,1
465000,Le Kram,Le Kram,tunis,444.0,8,4,5,1,15.6597258364807,1,0,0,1,0,0,0,0,1,1,0
173600,Hammamet Nord,Hammamet,Nabeul,410.0,6,5,1,2,65.4597220191691,0,0,0,0,0,0,0,0,1,0,1
1116000,La Marsa,La Marsa,tunis,400.0,7,4,3,0,17.7289905592112,0,0,0,0,0,0,0,0,0,1,0
263500,Cité El Wafa,Nabeul,Nabeul,400.0,7,5,1,1,68.9669254139542,1,0,0,1,1,0,0,0,1,1,1
263500,Hammamet,Hammamet,Nabeul,400.0,5,2,1,2,65.4597220191691,0,0,0,0,0,0,0,0,0,1,1
139500,Cité Belvédère,Bizerte Nord,Bizerte,400.0,6,2,1,1,62.896431283818,1,0,0,0,0,0,0,0,0,0,1
238700,Bizerte,Bizerte Nord,Bizerte,320.0,7,3,1,1,61.3547423350838,1,0,0,1,0,0,0,0,1,0,1
232500,Hammamet Sud,Hammamet,Nabeul,320.0,6,4,0,2,65.4597220191691,0,0,0,0,0,1,0,0,1,1,1
139500,El Mourouj 6,El Mourouj,Ben Arous,315.0,8,3,2,2,15.2468224381805,1,0,0,0,0,0,0,0,1,1,0
102300,Le Bardo,Le Bardo,tunis,200.0,4,2,4,1,5.30148623956287,1,0,1,0,0,0,0,0,1,0,1
99200,Cité Bougatfa,El Hrairia,tunis,200.0,5,2,2,1,17.7221901283016,1,0,0,0,0,0,0,0,1,0,0
105400,Hammamet Sud,Hammamet,Nabeul,170.0,6,2,1,1,65.4597220191691,0,0,0,0,1,0,0,0,1,0,0
139500,Cité Essalem,Mohamadia,Ben Arous,164.0,11,3,1,1,14.0530717483618,1,0,0,0,0,0,0,0,0,0,0
120590,Hammamet Nord,Hammamet,Nabeul,161.0,4,2,3,1,68.1327730498967,0,0,0,1,0,0,0,1,1,1,1
914500,Hammamet,Hammamet,Nabeul,172.0,4,4,1,1,65.4597220191691,1,0,0,0,0,1,0,0,1,1,1
527000,Sidi Thabet,Sidi Thabet,Ariana,20000.0,5,4,1,2,5.1433725350502,0,0,0,0,1,0,0,0,0,1,1
418500,Nabeul,Nabeul,Nabeul,15000.0,7,3,1,2,72.8250683705131,1,0,0,0,1,1,0,1,1,1,1
139500,Hammamet Sud,Hammamet,Nabeul,10189.0,3,5,1,2,65.4597220191691,1,0,0,1,0,0,0,0,1,1,1
255750,Ghedaouna,Mornaguia,La Manouba,10000.0,9,5,1,1,30.3035267006511,1,0,0,0,1,0,0,0,1,1,0
275900,Nabeul,Nabeul,Nabeul,6000.0,3,2,0,2,72.8250683705131,0,0,0,0,1,1,0,0,1,0,1
1085000,La Soukra,La Soukra,Ariana,2700.0,8,6,0,1,11.3450822580238,1,0,0,0,1,1,0,0,1,1,1
139500,Hammamet Nord,Hammamet,Nabeul,2100.0,6,3,1,2,65.4597220191691,1,0,1,1,0,1,0,0,0,1,1
1395000,Les Berges Du Lac 1,La Marsa,tunis,1370.0,5,5,3,1,5.70971665057163,1,0,0,0,0,1,0,0,1,1,1
837000,Cité de la Plage,Hammam Sousse,Sousse,1300.0,8,4,1,1,113.681036216882,1,0,1,1,0,1,0,0,1,1,1
589000,Le Bardo,Le Bardo,tunis,1300.0,8,2,3,0,5.54992694975533,1,0,0,0,0,0,0,0,0,0,0
620000,La Soukra,La Soukra,Ariana,1200.0,8,5,1,1,11.3450822580238,1,0,0,0,0,1,0,0,1,1,1
279000,Route gremda,Sfax Ville,Sfax,1170.0,6,4,1,1,229.911459563327,1,0,0,0,0,0,0,1,1,1,0
170500,Raoued,Raoued,Ariana,1100.0,8,3,1,1,16.228614774176,1,0,0,0,0,0,0,0,0,0,0
1240000,Mutuelle Ville,El Menzah,tunis,1000.0,11,7,1,1,3.36045988098661,1,0,0,0,0,1,0,0,0,1,1
930000,Nabeul,Nabeul,Nabeul,1000.0,6,4,1,2,70.4016892781458,1,0,0,0,0,1,0,0,1,1,1
852500,Cité Jardins,Cité El Khadra,tunis,1000.0,5,3,3,1,2.11808436783851,0,0,0,0,0,0,0,0,0,0,0
449500,El Manar 1,El Menzah,tunis,1000.0,5,5,1,1,4.6317218774898,1,0,0,0,0,0,0,0,1,1,1
899000,El Menzah 4,El Menzah,tunis,966.0,6,6,2,1,4.6317218774898,1,0,0,0,0,0,0,0,0,1,1
275900,Route Lafrane,Sfax Ville,Sfax,960.0,4,4,3,1,230.51475345782,1,0,1,0,1,0,0,0,1,1,1
139500,Gammarth,La Marsa,tunis,850.0,5,3,0,1,17.7221901283016,1,0,1,0,1,1,0,0,1,1,1
821500,Yasmine Hammamet,Hammamet,Nabeul,790.0,7,6,1,1,65.4597220191691,1,0,0,0,0,1,0,0,1,1,1
620000,Riadh al Andalous,Ariana Ville,Ariana,780.0,10,6,1,2,9.24213767273838,1,0,0,0,0,1,0,0,1,1,1
303800,Cité Ennasr,Mnihla,Ariana,750.0,8,4,1,2,9.15165203481795,1,0,0,0,0,0,0,0,1,1,1
294500,Ezzahra,Ezzahra,Ben Arous,750.0,8,4,3,1,9.53373908202624,1,0,0,1,1,0,0,0,0,0,0
139500,El Menzah 7,Ariana Ville,Ariana,742.0,8,2,1,1,5.68618720712788,0,0,0,0,0,0,0,0,0,0,0
204600,Route gremda,Sfax Ville,Sfax,730.0,8,3,1,1,12.5255127830913,1,0,0,0,0,0,0,0,0,0,0
899000,Carthage Byrsa,Carthage,tunis,700.0,7,6,0,1,16.956028959712,1,0,0,0,0,1,0,0,1,1,1
325500,El Menzah 9,El Menzah,tunis,650.0,7,4,1,1,6.40986136903085,1,0,0,0,0,0,0,0,0,1,0
310000,El Omrane Supérieur,El Omrane Superieur,tunis,650.0,8,2,4,1,2.19113226059161,0,0,0,0,0,0,0,0,1,0,0
378200,El Menzah 9,El Menzah,tunis,630.0,6,4,1,1,6.40986136903085,1,0,0,0,0,0,0,0,0,1,1
179800,Borj Cedria,Hammam Chatt,Ben Arous,630.0,8,3,1,2,84.0946305610268,1,0,0,1,1,0,0,0,1,1,0
434000,La Manouba,La Manouba,La Manouba,600.0,8,4,1,1,14.3537727228831,1,0,0,0,0,0,0,0,0,0,0
248000,Mosque Erraoudha,La Soukra,Ariana,600.0,8,2,4,1,11.3450822580238,1,0,0,0,0,0,0,0,0,1,0
204600,Hammamet,Hammamet,Nabeul,600.0,4,4,0,1,65.4597220191691,1,0,0,0,0,1,0,0,1,1,1
719200,Djerba,Djerba,Djerba,550.0,5,5,0,2,339.306502968495,1,0,0,1,0,1,0,1,1,1,1
403000,Hammamet Nord,Hammamet,Nabeul,550.0,4,2,0,2,65.4597220191691,1,0,0,1,0,1,0,0,0,1,1
465000,Montfleury,Tunis,tunis,540.0,8,4,1,1,2.19113226059161,0,0,0,0,0,0,0,0,0,0,0
279000,El Mourouj 3,El Mourouj,Ben Arous,530.0,8,5,1,1,15.2468224381805,1,0,0,0,0,0,0,0,0,0,0
207700,Aghir,Midoun,Djerba,504.0,4,4,1,1,345.586422511665,1,0,0,1,0,1,0,1,1,1,1
263500,Cité Erriadh,La Marsa,tunis,500.0,7,3,1,1,17.7221901283016,0,0,0,0,0,0,0,0,0,0,0
334800,El Menzah 9,El Menzah,tunis,498.0,5,3,1,1,4.6317218774898,1,0,0,0,0,0,0,0,0,1,1
446400,Sahloul,Sousse Ville,Sousse,454.0,7,4,3,1,123.368063189228,1,0,0,0,0,0,0,0,1,1,1
170500,Cité Du Stade,La Marsa,tunis,446.0,4,2,2,1,16.9037901305011,1,0,0,0,0,0,0,0,1,1,1
263500,Le Bardo,Le Bardo,tunis,438.0,8,4,1,1,5.54992694975533,1,0,0,0,0,0,0,0,1,1,1
139500,El Mourouj 5,El Mourouj,Ben Arous,438.0,8,7,3,1,15.2468224381805,1,0,0,0,1,0,0,0,0,0,0
139500,Hammam Lif,Hammam Lif,Ben Arous,424.0,7,5,3,1,18.230347164571,1,0,0,0,0,0,0,0,1,1,1
310000,Chott Meriem,Akouda,Sousse,400.0,7,3,1,1,111.167790931873,1,0,1,1,0,0,0,0,1,1,1
204600,Hammamet Sud,Hammamet,Nabeul,400.0,4,4,1,2,65.4597220191691,0,0,0,0,1,1,0,0,1,0,0
192200,Le Bardo,Le Bardo,tunis,400.0,8,2,1,1,5.54992694975533,1,0,1,0,0,0,0,0,1,0,0
263500,Hammamet,Hammamet,Nabeul,380.0,4,4,1,2,65.4597220191691,0,0,0,0,0,1,0,0,0,0,0
201500,Hammamet,Hammamet,Nabeul,380.0,4,4,0,2,65.4597220191691,1,0,0,0,0,1,0,0,0,1,0
288300,La Marsa,La Marsa,tunis,375.0,8,5,1,2,14.249053168265,0,0,0,0,0,0,0,0,1,0,0
279000,El Mourouj 4,El Mourouj,Ben Arous,375.0,6,2,1,1,15.2468224381805,1,0,0,0,0,0,0,0,1,0,0
418500,Gammarth,La Marsa,tunis,360.0,5,9,1,1,17.7221901283016,1,0,0,0,0,1,0,0,1,1,1
201500,Montfleury,Tunis,tunis,360.0,6,3,1,1,2.19113226059161,0,0,0,0,0,0,0,0,0,0,0
263500,Cité Les Pins,La Marsa,tunis,350.0,6,4,1,1,17.7221901283016,0,0,0,0,0,0,0,0,0,0,0
263500,Nabeul,Nabeul,Nabeul,320.0,4,5,1,2,72.8250683705131,0,0,0,0,1,0,0,0,1,0,1
223200,Nabeul,Nabeul,Nabeul,320.0,5,3,1,1,72.8250683705131,1,0,0,0,0,0,0,0,1,1,1
139500,Djerba,Djerba,Djerba,320.0,5,5,8,2,336.063533301856,0,0,0,0,0,1,0,1,1,0,0
403000,Tunis Belvedere,El Menzah,tunis,318.0,8,6,7,0,1.86442879473874,1,0,0,0,0,0,0,0,1,1,1
139500,Khaznadar,Le Bardo,tunis,302.0,8,3,1,2,5.54992694975533,1,0,0,0,0,0,0,0,1,1,1
139500,Hammamet,Hammamet,Nabeul,300.0,7,4,1,2,62.435627162284,0,0,0,0,0,0,0,0,1,1,1
139500,Djerba,Djerba,Djerba,300.0,4,4,2,1,339.746135454999,0,0,0,0,0,1,0,1,1,0,0
387500,Gammarth,La Marsa,tunis,270.0,8,2,0,2,17.7221901283016,1,0,0,0,1,1,0,1,1,1,0
139500,Cité Bou Akroucha,Mohamadia,Ben Arous,270.0,6,3,1,1,20.0844676720072,1,0,0,0,0,0,0,0,0,0,0
194990,Hammamet,Hammamet,Nabeul,260.0,3,2,1,2,65.4597220191691,1,0,0,0,0,0,0,0,0,0,0
182900,Ettahrir,Ettahrir,tunis,240.0,7,3,3,1,2.19113226059161,1,0,0,0,0,0,0,0,0,1,1
102300,La Marsa,La Marsa,tunis,206.0,5,3,1,2,17.7221901283016,0,0,0,0,0,0,0,0,1,0,1
220100,Le Kram,Le Kram,tunis,200.0,8,4,3,0,15.3139811663917,1,0,0,0,0,0,0,0,0,0,0
124000,Tabarka Ville,Tabarka,Jendouba,200.0,6,3,2,1,159.077297803572,0,0,0,0,1,0,0,0,0,0,0
77500,Hammamet,Hammamet,Nabeul,180.0,8,5,1,1,65.4597220191691,1,0,0,0,0,0,0,0,0,0,0
68200,Aghir,Midoun,Djerba,178.0,3,2,2,1,343.587719897206,1,0,0,0,0,1,0,0,1,0,1
108500,Djerba,Djerba,Djerba,170.0,4,2,1,1,336.063533301856,0,0,0,0,0,0,0,0,0,0,0
114700,Dar Fadhal,La Soukra,Ariana,150.0,7,2,1,1,11.3450822580238,0,0,0,0,0,0,0,0,0,0,0
77500,La Medina,Kairouan Ville,tunis,124.0,5,2,6,1,327.765254316544,0,0,0,0,0,0,0,0,0,0,0
117800,La Soukra,La Soukra,Ariana,115.0,6,4,1,1,13.6515294537323,0,0,0,0,0,0,0,0,0,0,0
139500,Cité 18 Janvier,Ettadhamen,Ariana,110.0,7,3,1,1,7.79369933061673,1,0,0,0,0,0,0,0,0,0,0
139500,Le Kram,Le Kram,tunis,110.0,3,2,1,1,15.3139811663917,0,0,0,0,0,0,0,0,0,0,0
139500,Le Kram,Le Kram,tunis,110.0,5,2,1,1,15.715214336052,0,0,0,0,0,0,0,0,0,0,0
139500,El Mourouj 4,El Mourouj,Ben Arous,100.0,8,3,1,1,10.6519988767836,0,0,0,0,0,0,0,0,0,0,0
282100,La Marsa,La Marsa,tunis,172.0,8,5,1,1,17.7221901283016,1,0,0,0,0,0,0,0,1,1,1
